DateTime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,dayofweek,month,day_of_year,is_weekend,is_anomaly_iso,is_anomaly_svm,is_anomaly_combined
2004-03-10 18:00:00,0.3213702990279001,1.2050800618093698,-0.5008701288575625,0.1656802856191578,0.3201579756133368,-0.2749643422311866,0.7816435893737855,0.2737146480323202,0.4681050514643507,0.6657585398840287,-0.9082414515560662,0.0364407445422097,-1.0335896111350764,18,2,3,70,0,0,0,0
2004-03-10 19:00:00,-0.1099406574695769,0.8931939668371752,-0.7709196530306849,-0.1642120791433476,-0.0230361426981557,-0.6064611555842607,1.2417793010948974,-0.2502180520104336,0.0325348397970629,-0.111104812975148,-0.94589763839422,-0.0328958965751016,-1.1214953703623476,19,2,3,70,0,0,0,0
2004-03-10 20:00:00,0.0338296613629154,1.3977155910569017,-0.9414772472452884,-0.2169948575053485,-0.0833779656979786,-0.45912923853845,1.109197824836272,0.2986638242248323,0.0194349838070693,0.1565980991587574,-1.1216265103056051,0.3311214692907843,-1.0542733191885525,20,2,3,70,0,0,0,0
2004-03-10 21:00:00,0.0338296613629154,1.278465025332239,-0.9983297786501564,-0.1906034683243482,-0.0494356902605782,-0.2433932171499415,0.9220239760005654,0.498257233764929,0.114408939734523,0.4951635468575203,-1.2345950708200673,0.6778046748773426,-0.9549370897212026,21,2,3,70,0,0,0,0
2004-03-10 22:00:00,-0.3974812951345615,0.8014627624335886,-1.2044202049928023,-0.546887222267854,-0.4718284512593384,-0.45912923853845,1.362662411801291,0.3485621766098564,-0.1934376760303269,0.2510814799119005,-1.2094909462612982,0.6546924611715721,-0.9492218546011634,22,2,3,70,0,0,0,0
2004-03-10 23:00:00,-0.6850219327995463,0.4574707459201388,-1.2968055685257127,-0.7844097248968579,-0.7961657498833864,-0.680127114107166,1.877390496099484,-0.1504213472403852,-0.5111091837876721,-0.1714691951229894,-1.2094909462612982,0.6315802474658017,-0.9601080167345712,23,2,3,70,0,0,0,0
2004-03-11 00:00:00,-0.6850219327995463,0.4024320232779869,-1.346551533504972,-0.9295623653923604,-1.0224475861327222,-0.8221971769727692,2.364822394109136,-0.6244556948981149,-0.7076070236375763,-0.7383694796418481,-1.1969388839819133,0.492906965231178,-1.0267857598016965,0,3,3,71,0,0,0,0
2004-03-11 01:00:00,-0.8287922516320386,0.1776905724891997,-1.346551533504972,-0.969149449163861,-1.090332137007523,-0.8221971769727692,2.3297272974524414,-0.6494048710906271,-0.7076070236375763,-0.74624309470461,-1.2722512576582214,0.6778046748773426,-0.9998425085215112,1,3,3,71,0,0,0,0
2004-03-11 02:00:00,-0.9006774110482848,-0.0149449567583321,-1.3962974984842311,-1.101106395068863,-1.3279280650693257,-0.9116486980362972,2.821058650646171,-1.0485916901708203,-0.8942799714949854,-1.0349423136725473,-1.2722512576582214,0.6604705145980149,-1.0145388274016125,2,3,3,71,0,0,0,0
2004-03-11 03:00:00,-1.1163328892970232,-0.4002160152533959,-1.4318303306122735,-1.1802805626118646,-1.508953534068794,-0.9116486980362972,3.312390003839901,-1.0485916901708203,-1.02855349539242,-1.3472623778287702,-1.32245950677576,0.6893607817302281,-1.050191008388524,3,3,3,71,0,0,0,0
2004-03-11 04:00:00,-1.1163328892970232,-0.3956294550332165,-1.4673631627403163,-1.2330633409738652,-1.6371799079434175,-1.0379331983612776,3.753028439640626,-1.6972702711761347,-1.1530021272973594,-1.494236525666993,-1.3475636313345294,0.7066949420095557,-1.0643430191619545,4,3,3,71,0,0,0,0
2004-03-11 05:00:00,-1.044447729880777,-0.1433686429233533,-1.5100025612939671,-1.2594547301548658,-1.6937503670057517,-1.0642424692623154,4.142973958048348,-1.846965328331207,-1.2021265872598357,-1.5546009078148344,-1.2345950708200673,0.4582386446725225,-1.0912862704421398,5,3,3,71,0,0,1,1
2004-03-11 06:00:00,-1.044447729880777,-0.207580486005864,-1.4531500298890994,-1.1934762572023647,-1.5391244455687056,-0.96952909401858,3.441072024914449,-1.3479818044809655,-1.0744029913573976,-1.4233739901021356,-1.2973553822169908,0.5680216597749326,-1.0948242731354978,6,3,3,71,0,0,0,0
2004-03-11 07:00:00,-0.7569070922157923,0.2143830542506343,-1.360764666356189,-0.9823451437543612,-1.1091889566949675,-0.6327704264852984,2.4740071392632985,-0.4997098139355544,-0.6879572396525859,-0.74624309470461,-1.3350115690551447,0.6546924611715721,-1.0774064137220445,7,3,3,71,0,0,0,0
2004-03-11 08:00:00,-0.1099406574695769,1.0812429358645277,-1.1120348414598922,-0.3489518034103507,-0.2304611592600469,-0.2328695087895264,1.093600004099963,0.2487654718398081,-0.1050136480978699,0.2300851730778687,-1.2596991953788366,0.5275752857898339,-1.0798558002020613,8,3,3,71,0,0,0,0
